,id,name,genres,popularity,followers
1129,6GI52t8N5F02MxU0g5U69P,Santana,"['album rock', 'blues-rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']",74,588880
1130,5rScKX1Sh1U67meeUyTGwk,Michelle Branch,"['candy pop', 'dance pop', 'folk-pop', 'lilith', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'singer-songwriter']",63,151645
1131,3mIj9lX2MWuHmhNCA7LSCW,The 1975,"['modern rock', 'nu gaze', 'pop', 'shiver pop']",81,1923907
1132,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop christmas', 'pop rock']",88,3324648
1133,1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,"['alternative rock', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'neo-psychedelic', 'noise pop', 'pop rock', 'stomp and holler']",73,654461
1134,3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,"['emo', 'modern rock', 'neo mellow', 'pop', 'pop punk', 'pop rap', 'pop rock', 'post-grunge']",74,746660
1135,3KcIZKgUHhqJr9dodvm4iN,Breakbot Feat. Irfane,[],36,3493
1136,0iui2Be5CP8EWxvHYsVspL,Breakbot,"['alternative dance', 'filter house', 'future funk', 'indietronica', 'new rave', 'nu disco']",61,159380
1137,3nqQeOUvDPTu4vtYtPfBjX,Irfane,[],56,914
1138,0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'new jack swing', 'pop', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']",72,952623
1139,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop rap', 'rap']",95,7880263
1140,2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,"['dance pop', 'pop', 'pop rap', 'rap']",88,1857665
1141,31TPClRtHm23RisEBtV3X7,Justin Timberlake,"['boy band', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",86,4940162
